"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
"2","2084-11-04T12:32:24.000","2084-11-04T12:47:41.000","1","1.34","1","N","238","236","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T12:32:24.000","","1","1.34","1","N","238","236","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T12:25:53.000","2084-11-04T12:29:00.000","1","0.32","1","N","238","238","2","4","0","0.5","0","0","0.3","4.8"
"2","2084-11-04T12:25:53.000","2084-11-04T12:29:00.000","1","0.32","1","N","238","238","2","4","0","0.5","0","0","0.3","4.8"
"2","","2084-11-04T12:22:24.000","1","1.85","1","N","236","238","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T12:08:33.000","2084-11-04T12:22:24.000","1","","1","N","236","238","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T11:41:35.000","2084-11-04T11:59:41.000","1","1.65","1","N","68","237","2","12.5","0","0.5","0","0","0.3","13.3"
"2","2084-11-04T11:41:35.000","2084-11-04T11:59:41.000","1","1.65","1","N","68","","2","12.5","0","0.5","0","0","0.3","13.3"
"2","2084-11-04T11:27:28.000","","1","1.07","1","N","170","68","2","9","0","0.5","0","0","0.3","9.8"
"2","2084-11-04T11:27:28.000","2084-11-04T11:39:52.000","1","1.07","1","N","170","68","2","9","0","0.5","0","0","0.3","9.8"
"2","2084-11-04T11:19:06.000","2084-11-04T11:26:44.000","1","1.30","1","N","107","170","2","7.5","0","0.5","0","0","","8.3"
"2","2084-11-04T11:19:06.000","2084-11-04T11:26:44.000","1","1.30","1","N","107","170","2","7.5","","0.5","0","0","0.3","8.3"
"2","2084-11-04T11:02:59.000","2084-11-04T11:15:51.000","","1.85","1","N","113","137","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T11:02:59.000","2084-11-04T11:15:51.000","1","1.85","1","N","113","137","2","10","0","0.5","0","0","0.3","10.8"
"2","2084-11-04T10:46:05.000","2084-11-04T10:50:09.000","1","0.62","1","N","231","231","2","4.5","0","0.5","0","0","0.3","5.3"
"2","2084-11-04T10:46:05.000","2084-11-04T10:50:09.000","1","0.62","1","N","231","231","2","4.5","0","0.5","0","0","0.3","5.3"
"2","2053-07-11T13:25:33.000","2053-07-11T13:25:33.000","1","0.00","1","N","264","264","2","0","0","0","0","0","0","0"
"2","2042-12-04T08:51:43.000","2042-12-04T08:54:47.000","1","0.29","1","N","162","162","2","4","0","0.5","0","0","0.3","4.8"
"2","2042-12-04T08:51:43.000","2042-12-04T08:54:47.000","1","0.29","1","N","162","162","2","4","0","0.5","0","0","0.3","4.8"
"2","2041-06-25T20:46:37.000","2041-06-25T20:52:37.000","1","1.34","1","N","239","151","2","7","0.5","0.5","0","0","0.3","8.3"
"2","2037-11-17T21:24:28.000","2037-11-17T21:46:03.000","1","2.99","1","N","170","143","1","15","0.5","0.5","1.7","0","0.3","18"
"2","2037-11-17T21:24:28.000","2037-11-17T21:46:03.000","1","2.99","1","N","170","143","1","15","0.5","0.5","1.7","0","0.3","18"
"2","2032-02-02T00:39:23.000","2032-02-02T01:11:39.000","4","23.21","1","N","132","228","2","62","0.5","0.5","0","0","0.3","63.3"
"2","2031-02-13T17:36:35.000","2031-02-13T17:45:36.000","1","1.44","1","N","236","237","2","8","1","0.5","0","0","0.3","9.8"
"2","2031-02-13T17:21:28.000","2031-02-13T17:35:36.000","1","1.69","1","N","141","236","2","8","1","0.5","0","0","0.3","9.8"
"2","2029-05-06T20:43:14.000","2029-05-06T21:03:14.000","4","4.47","1","N","162","80","1","17.5","0.5","0.5","4.91","5.76","0.3","29.47"
"2","2029-05-05T23:22:18.000","2029-05-06T02:02:00.000","1","11.51","1","N","148","244","1","34.5","0.5","0.5","0","0","0.3","35.8"
"2","2026-02-13T11:53:54.000","2026-02-13T11:58:02.000","2","0.85","1","N","161","43","2","5","1","0.5","0","0","0.3","6.8"
"2","2026-02-13T11:06:18.000","2026-02-13T18:26:09.000","2","3.14","1","N","163","246","2","20","1","0.5","0","0","0.3","21.8"
"2","2021-09-13T12:19:52.000","2021-09-13T12:22:07.000","1","0.00","1","N","193","193","2","0","0","0","0","0","0","0"
"2","2020-12-10T20:34:26.000","2020-12-10T20:54:46.000","1","4.62","1","N","50","231","2","17.5","0.5","0.5","0","0","0.3","18.8"
"2","2020-12-10T20:23:43.000","2020-12-10T20:32:35.000","1","2.44","1","N","90","50","1","9","0.5","0.5","2.06","0","0.3","12.36"
"2","2020-08-01T00:20:58.000","2020-08-01T00:47:09.000","1","16.71","1","N","143","138","1","45.5","0","0.5","10.41","5.76","0.3","62.47"
"2","2020-08-01T00:07:04.000","2020-08-01T00:20:28.000","1","2.30","1","N","238","143","2","11","0","0.5","0","0","0.3","11.8"
"2","2020-03-05T18:44:16.000","2020-03-06T15:14:32.000","1","2.39","1","N","125","161","2","11","0","0.5","0","0","0.3","11.8"
"2","2020-03-05T18:44:16.000","2020-03-06T15:14:32.000","1","2.39","1","N","125","161","2","11","0","0.5","0","0","0.3","11.8"
"2","2020-03-05T18:33:57.000","2020-03-05T18:40:39.000","1","1.04","1","N","231","125","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2020-03-05T18:33:57.000","2020-03-05T18:40:39.000","1","1.04","1","N","231","125","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2020-03-05T18:13:12.000","2020-03-05T18:21:27.000","1","1.26","1","N","79","45","2","7.5","0","0.5","0","0","0.3","8.3"
"2","2020-03-05T18:13:12.000","2020-03-05T18:21:27.000","1","1.26","1","N","79","45","2","7.5","0","0.5","0","0","0.3","8.3"
"2","2020-03-05T18:06:06.000","2020-03-05T18:11:37.000","1","0.90","1","N","234","79","1","5.5","0","0.5","1.26","0","0.3","7.56"
"2","2020-03-05T18:06:06.000","2020-03-05T18:11:37.000","1","0.90","1","N","234","79","1","5.5","0","0.5","1.26","0","0.3","7.56"
"2","2020-03-05T18:01:50.000","2020-03-05T18:05:26.000","1","0.49","1","N","90","234","2","4.5","0","0.5","0","0","0.3","5.3"
"2","2020-03-05T18:01:50.000","2020-03-05T18:05:26.000","1","0.49","1","N","90","234","2","4.5","0","0.5","0","0","0.3","5.3"
"2","2020-03-05T17:34:30.000","2020-03-05T17:40:27.000","1","1.13","1","N","238","143","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2020-03-05T17:34:30.000","2020-03-05T17:40:27.000","1","1.13","1","N","238","143","1","6.5","0","0.5","1.46","0","0.3","8.76"
